year,month,day,prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(mm/day),evap_surface(mm/day),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2)
1980,1,1,0.0,29.52,13.67,21.6,334.19,257.9,3.12,-0.73,3.2,51.29,,2.35,1.33,0.0,0.41,4.35,70.82,189.46,491.74
1980,1,2,0.0,28.76,14.4,21.58,346.91,246.42,1.39,-0.61,1.52,54.71,,1.95,0.82,0.0,0.37,4.22,70.71,189.31,491.73
1980,1,3,0.24,27.49,13.67,20.58,345.86,229.37,-0.19,-1.86,1.87,45.18,,2.02,0.76,0.0,0.38,4.09,70.61,189.15,491.73
1980,1,4,1.68,27.83,14.2,21.02,367.59,157.69,-3.14,-0.73,3.22,75.36,,1.84,0.83,0.23,0.26,4.05,70.51,188.99,491.71
1980,1,5,7.28,24.83,15.26,20.04,381.75,115.91,-3.05,-0.91,3.18,81.35,,1.17,0.66,0.71,0.14,5.53,70.46,188.92,491.71
1980,1,6,3.99,23.08,14.37,18.72,371.82,146.65,-2.74,-0.05,2.74,77.81,,1.34,0.99,0.74,0.21,7.04,70.39,188.82,491.71
1980,1,7,2.88,23.08,12.82,17.95,347.96,226.75,-1.87,0.52,1.94,64.98,,2.02,1.76,0.0,0.46,6.82,70.29,188.65,491.7
1980,1,8,0.0,26.13,13.54,19.84,348.88,258.17,-0.75,-0.26,0.79,57.04,,2.15,1.66,0.0,0.51,6.51,70.2,188.51,491.7
1980,1,9,0.0,28.24,14.18,21.21,359.55,225.02,-1.15,0.67,1.33,51.68,,2.21,1.48,0.01,0.51,6.21,70.1,188.36,491.7
1980,1,10,0.0,28.8,15.22,22.01,375.65,236.56,-0.38,0.78,0.87,48.88,,2.17,1.24,0.01,0.48,5.93,70.01,188.21,491.7
1980,1,11,0.0,29.39,15.48,22.44,375.32,245.88,-0.03,1.67,1.67,47.13,,2.55,1.22,0.09,0.48,5.68,69.92,188.07,491.7
1980,1,12,0.0,30.45,17.45,23.95,358.19,252.39,1.17,-0.85,1.45,46.56,,2.48,0.98,0.01,0.48,5.43,69.84,187.93,491.7
1980,1,13,0.0,29.23,15.76,22.5,353.38,257.0,0.45,0.66,0.8,50.4,,2.41,0.86,0.0,0.44,5.18,69.76,187.8,491.7
1980,1,14,0.0,29.99,15.6,22.8,359.65,258.69,0.24,0.51,0.56,50.03,,2.44,0.85,0.0,0.42,4.95,69.68,187.68,491.7
1980,1,15,0.0,30.41,15.88,23.14,366.21,260.83,-0.67,2.53,2.62,37.93,,2.55,0.83,0.0,0.43,4.75,69.6,187.54,491.7
1980,1,16,0.0,30.4,15.14,22.77,356.43,263.95,0.45,1.09,1.18,43.85,,2.53,0.78,0.0,0.4,4.55,69.53,187.41,491.69
1980,1,17,0.0,30.6,15.35,22.98,368.48,265.52,0.21,1.14,1.16,43.07,,2.54,0.74,0.0,0.38,4.36,69.45,187.29,491.69
1980,1,18,0.0,31.06,15.83,23.44,372.07,257.95,-0.52,1.83,1.9,37.42,,2.58,0.72,0.01,0.39,4.18,69.38,187.16,491.69
1980,1,19,0.0,31.07,15.68,23.38,365.37,266.88,-0.43,1.08,1.16,45.46,,2.57,0.7,0.0,0.33,4.01,69.31,187.04,491.68
1980,1,20,0.0,31.18,16.05,23.62,369.62,266.92,0.15,1.25,1.26,44.11,,2.6,0.67,0.05,0.31,3.86,69.25,186.93,491.68
1980,1,21,0.0,31.72,15.94,23.83,357.49,270.07,1.2,0.07,1.2,41.06,,2.58,0.63,0.01,0.33,3.71,69.19,186.82,491.68
1980,1,22,0.0,31.68,15.53,23.6,339.94,272.18,2.21,-1.74,2.81,34.14,,2.53,0.59,0.0,0.35,3.57,69.12,186.71,491.67
1980,1,23,0.0,31.05,14.36,22.7,322.67,277.7,0.07,-1.76,1.76,38.18,,2.52,0.56,0.0,0.35,3.44,69.05,186.57,491.67
1980,1,24,0.0,29.03,12.76,20.9,324.15,280.87,-1.2,0.31,1.24,44.06,,2.54,0.61,0.0,0.31,3.32,68.98,186.45,491.67
1980,1,25,0.0,30.07,13.6,21.84,337.69,279.33,-0.91,1.0,1.35,42.94,,2.67,0.57,0.0,0.28,3.21,68.92,186.34,491.67
1980,1,26,0.0,31.06,14.59,22.82,345.62,278.52,0.57,0.58,0.81,41.32,,2.7,0.53,0.0,0.28,3.11,68.87,186.24,491.67
1980,1,27,0.0,31.94,15.47,23.7,332.99,283.57,2.61,-0.71,2.7,30.56,,2.64,0.49,0.0,0.3,3.02,68.81,186.14,491.67
1980,1,28,0.0,30.87,15.19,23.03,328.5,283.97,2.29,-1.69,2.85,42.36,,2.63,0.47,0.0,0.31,2.95,68.74,186.01,491.66
1980,1,29,0.0,29.63,13.08,21.36,307.1,291.65,1.04,-1.64,1.94,33.0,,2.51,0.43,0.0,0.32,2.89,68.67,185.88,491.66
1980,1,30,0.0,28.67,11.65,20.16,303.94,294.88,-0.49,-1.37,1.45,27.69,,2.53,0.46,0.0,0.33,2.83,68.61,185.76,491.66
1980,1,31,0.0,28.64,12.1,20.37,317.64,293.07,-2.2,0.99,2.41,26.87,,2.67,0.44,0.0,0.3,2.78,68.54,185.63,491.65
1980,2,1,0.0,29.78,14.36,22.07,353.4,284.27,-0.12,2.14,2.14,37.42,,2.6,0.4,0.07,0.3,2.74,68.48,185.51,491.65
1980,2,2,0.0,31.36,16.51,23.94,352.33,272.43,2.99,1.06,3.17,44.38,,2.11,0.31,0.01,0.31,2.72,68.41,185.37,491.64
1980,2,3,0.0,29.65,15.72,22.68,341.83,290.78,2.61,0.17,2.62,41.56,,2.24,0.32,0.0,0.3,2.68,68.35,185.25,491.63
1980,2,4,0.0,30.05,15.84,22.94,337.24,279.61,2.28,-0.3,2.3,43.5,,2.58,0.36,0.0,0.3,2.66,68.28,185.12,491.63
1980,2,5,0.0,29.67,14.61,22.14,314.79,298.34,2.21,-1.05,2.45,23.01,,2.66,0.35,0.0,0.3,2.63,68.22,185.0,491.63
1980,2,6,0.0,29.62,13.67,21.64,303.54,304.69,0.14,-1.89,1.9,19.54,,2.7,0.34,0.0,0.3,2.61,68.16,184.88,491.63
1980,2,7,0.0,29.16,12.26,20.71,301.25,308.07,-0.66,-1.88,1.99,20.24,,2.74,0.33,0.0,0.28,2.59,68.11,184.76,491.63
1980,2,8,0.0,29.01,12.99,21.0,315.67,305.84,-1.07,-0.18,1.09,28.1,,2.83,0.33,0.0,0.27,2.58,68.06,184.66,491.63
1980,2,9,0.0,30.73,14.95,22.84,327.81,302.5,-0.26,-0.96,0.99,24.48,,2.83,0.32,0.0,0.28,2.57,68.01,184.57,491.62
1980,2,10,0.0,32.09,15.12,23.6,316.84,310.5,-1.39,-1.73,2.22,19.64,,2.89,0.31,0.0,0.27,2.56,67.97,184.48,491.62
1980,2,11,0.0,31.1,14.59,22.84,330.61,305.93,-1.87,-0.85,2.05,24.53,,2.89,0.32,0.0,0.28,2.56,67.92,184.37,491.62
1980,2,12,0.0,31.91,16.12,24.02,350.51,299.43,-1.38,0.19,1.39,30.76,,2.96,0.3,0.0,0.26,2.55,67.87,184.29,491.62
1980,2,13,0.0,32.56,16.48,24.52,355.39,301.14,-0.95,-0.08,0.95,28.34,,3.02,0.29,0.0,0.24,2.55,67.83,184.2,491.61
1980,2,14,0.0,33.07,17.28,25.18,381.71,265.18,1.83,1.14,2.16,38.57,,2.74,0.34,0.33,0.24,2.64,67.79,184.11,491.61
1980,2,15,0.64,34.14,17.83,25.98,351.06,310.19,2.25,-0.92,2.43,35.6,,2.76,0.43,0.05,0.27,2.81,67.76,184.02,491.61
1980,2,16,0.0,32.06,15.86,23.96,317.1,321.2,1.62,-1.97,2.55,26.86,,2.91,0.37,0.0,0.28,2.74,67.71,183.94,491.61
1980,2,17,0.0,31.9,14.01,22.96,316.75,321.33,-0.09,-1.55,1.55,23.21,,2.96,0.3,0.0,0.27,2.69,67.67,183.84,491.61
1980,2,18,0.0,31.91,14.87,23.39,325.45,320.89,-0.26,-0.26,0.37,25.71,,3.07,0.27,0.0,0.26,2.65,67.64,183.77,491.6
1980,2,19,0.0,33.37,16.13,24.75,340.56,316.58,1.02,-0.34,1.08,24.76,,3.13,0.26,0.0,0.25,2.61,67.6,183.7,491.6
1980,2,20,0.0,34.52,17.14,25.83,339.4,322.51,-1.06,-1.06,1.5,26.35,,3.16,0.26,0.0,0.24,2.58,67.57,183.61,491.59
1980,2,21,0.0,34.68,18.48,26.58,343.6,323.75,0.28,-1.06,1.1,26.88,,3.19,0.29,0.0,0.23,2.56,67.55,183.56,491.59
1980,2,22,0.0,35.83,18.56,27.2,348.4,324.83,1.09,-1.23,1.64,32.14,,3.21,0.25,0.0,0.22,2.55,67.52,183.5,491.59
1980,2,23,0.0,35.94,18.11,27.02,348.67,325.05,1.89,-1.29,2.29,28.99,,3.28,0.24,0.0,0.22,2.54,67.49,183.43,491.59
1980,2,24,0.0,36.0,18.55,27.28,343.21,327.66,1.76,-2.12,2.76,26.77,,3.26,0.23,0.0,0.24,2.54,67.46,183.37,491.59
1980,2,25,0.0,35.7,17.45,26.58,337.12,331.05,0.21,-1.46,1.48,25.68,,3.19,0.21,0.0,0.23,2.54,67.43,183.3,491.59
1980,2,26,0.0,34.81,16.75,25.78,328.21,335.63,-0.44,-1.42,1.49,18.24,,3.18,0.2,0.0,0.24,2.53,67.4,183.23,491.59
1980,2,27,0.0,34.85,16.25,25.55,333.44,337.48,0.03,0.51,0.51,19.04,,3.25,0.24,0.0,0.23,2.53,67.37,183.16,491.59
1980,2,28,0.0,36.5,18.23,27.36,335.78,337.76,2.64,-0.42,2.67,19.97,,3.37,0.21,0.0,0.23,2.53,67.34,183.1,491.59
1980,2,29,0.0,36.37,19.28,27.82,347.23,331.25,3.01,-1.21,3.24,26.47,,3.34,0.2,0.02,0.24,2.54,67.31,183.01,491.58
1980,3,1,0.0,35.41,18.81,27.11,339.8,334.05,3.11,-1.68,3.53,26.12,,3.3,0.18,0.0,0.24,2.54,67.27,182.93,491.58
1980,3,2,0.0,33.79,16.57,25.18,320.66,346.41,0.87,-1.14,1.43,19.57,,3.21,0.17,0.0,0.24,2.54,67.24,182.86,491.58
1980,3,3,0.0,34.35,16.82,25.58,343.84,341.12,2.46,-1.47,2.87,22.53,,3.36,0.17,0.0,0.23,2.54,67.22,182.8,491.58
1980,3,4,0.0,36.2,19.07,27.64,351.9,341.03,1.72,-1.52,2.3,29.11,,3.42,0.17,0.0,0.22,2.54,67.19,182.73,491.57
1980,3,5,0.0,36.43,19.23,27.83,362.69,340.75,1.3,0.7,1.48,21.49,,3.46,0.16,0.0,0.2,2.53,67.17,182.68,491.57
1980,3,6,0.0,37.45,20.09,28.77,352.57,340.84,3.14,-0.78,3.24,21.72,,3.4,0.15,0.0,0.22,2.53,67.14,182.61,491.57
1980,3,7,0.0,35.59,19.07,27.33,346.17,344.32,2.97,-0.59,3.03,19.62,,3.44,0.17,0.0,0.22,2.53,67.11,182.54,491.57
1980,3,8,0.0,34.63,21.0,27.82,339.39,344.56,4.14,-0.84,4.22,24.29,,3.17,0.2,0.03,0.26,2.56,67.08,182.45,491.56
1980,3,9,0.0,32.16,15.1,23.63,309.46,356.18,1.62,-1.68,2.33,18.96,,3.22,0.16,0.0,0.26,2.54,67.04,182.36,491.56
1980,3,10,0.0,30.53,14.71,22.62,314.48,357.13,0.45,-0.3,0.54,18.94,,3.34,0.14,0.0,0.25,2.54,67.0,182.28,491.55
1980,3,11,0.0,32.63,16.14,24.38,332.01,352.01,1.27,0.8,1.5,19.43,,3.42,0.14,0.0,0.22,2.54,66.97,182.21,491.55
1980,3,12,0.0,35.32,17.77,26.54,345.09,347.55,-0.51,-1.13,1.24,16.9,,3.4,0.13,0.03,0.22,2.53,66.95,182.15,491.55
1980,3,13,0.0,35.02,19.72,27.37,377.56,329.75,-1.41,0.46,1.48,32.03,,3.44,0.13,0.67,0.22,2.74,66.92,182.06,491.55
1980,3,14,0.16,35.15,19.5,27.32,374.2,343.5,-0.74,0.02,0.74,31.47,,3.53,0.36,0.1,0.23,2.79,66.9,182.01,491.55
1980,3,15,0.0,35.86,20.29,28.08,385.56,315.99,0.71,0.94,1.18,30.16,,3.48,0.22,0.41,0.23,2.77,66.87,181.93,491.55
1980,3,16,0.0,37.0,22.49,29.74,381.61,322.28,2.73,0.79,2.84,30.33,,3.23,0.16,0.76,0.24,2.89,66.84,181.87,491.54
1980,3,17,0.0,36.83,21.77,29.3,384.43,326.44,0.45,0.01,0.45,30.45,,3.36,0.14,0.06,0.23,2.8,66.82,181.81,491.54
1980,3,18,0.0,36.65,21.62,29.14,377.63,320.99,2.01,-0.09,2.01,25.05,,3.55,0.13,0.02,0.22,2.73,66.8,181.74,491.54
1980,3,19,0.0,37.05,21.03,29.04,365.55,353.14,1.93,-0.24,1.94,24.25,,3.55,0.12,0.01,0.21,2.65,66.78,181.7,491.54
1980,3,20,0.0,37.49,20.99,29.24,368.82,356.74,0.91,-0.88,1.27,24.26,,3.69,0.12,0.0,0.19,2.6,66.76,181.64,491.54
1980,3,21,0.0,38.27,22.05,30.16,386.36,327.4,-0.24,-0.66,0.7,25.02,,3.76,0.12,0.03,0.19,2.58,66.74,181.6,491.53
1980,3,22,0.0,38.98,23.27,31.12,388.9,328.28,1.27,0.41,1.33,23.48,,3.43,0.1,0.08,0.19,2.58,66.72,181.55,491.53
1980,3,23,0.0,39.47,22.92,31.2,371.71,356.75,3.01,-1.54,3.38,17.82,,3.71,0.11,0.01,0.2,2.55,66.7,181.5,491.53
1980,3,24,0.0,38.95,22.49,30.72,366.85,360.12,2.85,-1.02,3.03,23.04,,3.72,0.1,0.0,0.19,2.54,66.69,181.45,491.52
1980,3,25,0.0,38.62,22.03,30.32,373.87,354.39,2.05,-0.88,2.23,22.07,,3.8,0.1,0.0,0.19,2.53,66.67,181.39,491.52
1980,3,26,0.0,38.75,23.24,30.99,370.78,360.82,1.43,-1.76,2.27,18.4,,3.5,0.16,0.0,0.19,2.53,66.65,181.35,491.52
1980,3,27,0.0,38.6,23.32,30.96,388.46,349.43,-0.87,1.04,1.36,29.09,,3.48,0.11,0.15,0.19,2.64,66.63,181.29,491.51
1980,3,28,0.0,38.6,23.39,31.0,402.52,291.31,0.63,2.64,2.71,24.69,,3.17,0.1,0.23,0.2,2.7,66.61,181.24,491.51
1980,3,29,0.0,39.19,25.08,32.14,383.54,310.07,3.47,-1.96,3.99,21.36,,3.75,0.1,0.32,0.22,2.72,66.58,181.17,491.51
1980,3,30,0.0,38.21,23.62,30.92,366.44,359.53,3.53,-1.02,3.67,25.42,,3.89,0.11,0.01,0.22,2.62,66.56,181.11,491.51
1980,3,31,0.0,37.41,21.93,29.67,365.19,342.49,2.16,-0.24,2.17,22.25,,3.92,0.1,0.0,0.2,2.57,66.54,181.05,491.51
1980,4,1,0.0,38.06,21.52,29.79,359.82,371.15,1.86,-0.72,1.99,17.96,,3.86,0.09,0.0,0.19,2.54,66.53,181.01,491.51
1980,4,2,0.0,38.57,22.68,30.62,365.72,323.81,0.91,-0.44,1.01,22.62,,3.84,0.09,0.0,0.19,2.54,66.51,180.96,491.5
1980,4,3,0.0,38.87,22.32,30.6,366.2,355.48,0.98,0.21,1.0,21.24,,3.69,0.11,0.35,0.18,2.55,66.49,180.91,491.5
1980,4,4,0.0,38.43,23.4,30.92,369.27,374.58,0.35,-1.01,1.07,20.2,,3.96,0.11,0.0,0.18,2.53,66.48,180.88,491.5
1980,4,5,0.08,39.42,23.72,31.57,385.94,356.96,-0.17,1.42,1.43,26.38,,3.84,0.28,0.73,0.18,2.63,66.46,180.83,491.5
1980,4,6,0.0,39.96,24.37,32.16,391.01,355.28,-1.32,2.75,3.05,29.56,,3.79,0.62,1.17,0.2,2.75,66.45,180.79,491.5
1980,4,7,0.34,39.13,22.6,30.86,395.41,355.07,-1.78,0.73,1.92,26.77,,3.79,0.55,0.39,0.2,2.88,66.43,180.74,491.5
1980,4,8,0.01,38.87,23.43,31.15,398.38,348.34,0.24,-0.74,0.78,26.55,,3.91,0.35,0.42,0.21,2.86,66.42,180.7,491.5
1980,4,9,0.0,40.61,24.88,32.74,389.33,369.33,1.51,-0.55,1.61,16.21,,4.1,0.24,0.05,0.22,2.73,66.41,180.66,491.5
1980,4,10,0.0,41.83,24.78,33.3,381.53,376.74,3.86,-2.45,4.57,14.75,,3.99,0.16,0.03,0.2,2.63,66.39,180.62,491.5
1980,4,11,0.0,41.61,25.89,33.75,392.14,337.22,3.79,-0.56,3.83,16.79,,4.01,0.12,0.17,0.19,2.64,66.37,180.57,491.5
1980,4,12,0.0,40.98,25.54,33.26,386.58,370.22,2.86,-2.33,3.69,15.67,,3.83,0.1,0.05,0.19,2.57,66.36,180.53,491.5
1980,4,13,0.0,40.66,25.02,32.84,386.87,375.19,1.67,-1.83,2.48,16.82,,4.1,0.1,0.03,0.18,2.54,66.35,180.5,491.5
1980,4,14,0.0,41.24,25.23,33.24,395.22,363.55,0.74,0.63,0.97,29.97,,4.1,0.1,0.36,0.18,2.65,66.33,180.46,491.49
1980,4,15,0.0,41.58,26.9,34.24,395.11,377.19,0.57,0.12,0.58,26.55,,3.58,0.11,0.39,0.23,2.9,66.33,180.43,491.49
1980,4,16,0.0,41.28,26.95,34.12,381.46,372.84,2.02,-1.13,2.31,18.5,,3.86,0.18,0.12,0.23,2.81,66.31,180.39,491.49
1980,4,17,0.0,38.96,23.89,31.42,381.73,379.16,1.41,-1.57,2.11,18.34,,4.16,0.25,0.0,0.2,2.69,66.3,180.36,491.49
1980,4,18,0.0,41.21,24.93,33.07,374.61,378.11,1.29,-0.2,1.31,17.43,,4.1,0.15,0.05,0.19,2.62,66.29,180.33,491.49
1980,4,19,0.0,41.95,26.46,34.2,392.79,378.13,-0.93,0.38,1.0,16.24,,4.2,0.11,0.01,0.19,2.58,66.28,180.29,491.49
1980,4,20,0.0,42.86,26.74,34.8,412.01,345.46,0.9,1.43,1.69,23.97,,4.23,0.09,0.33,0.18,2.64,66.27,180.25,491.49
1980,4,21,0.0,43.4,29.16,36.28,404.88,374.66,2.1,-0.19,2.11,16.63,,4.14,0.09,0.06,0.2,2.67,66.26,180.23,491.49
1980,4,22,0.0,43.18,28.84,36.01,408.71,365.15,3.56,-2.93,4.61,18.89,,4.01,0.08,0.07,0.19,2.63,66.24,180.19,491.49
1980,4,23,0.0,42.83,28.01,35.42,400.1,379.94,3.62,-2.01,4.14,22.7,,4.27,0.08,0.18,0.19,2.62,66.23,180.15,491.49
1980,4,24,0.0,42.17,27.48,34.83,386.48,386.39,3.62,-1.55,3.94,15.47,,4.26,0.07,0.0,0.18,2.56,66.22,180.12,491.48
1980,4,25,0.0,42.46,25.78,34.12,376.86,392.35,3.62,-2.52,4.41,13.99,,4.25,0.07,0.0,0.18,2.55,66.21,180.08,491.48
1980,4,26,0.0,42.85,27.04,34.94,391.62,388.98,3.44,-1.71,3.84,17.15,,4.1,0.06,0.12,0.18,2.54,66.2,180.05,491.48
1980,4,27,0.0,42.0,26.58,34.29,396.54,377.97,1.73,-1.75,2.46,19.35,,3.9,0.08,0.01,0.18,2.54,66.19,180.0,491.48
1980,4,28,0.0,41.13,25.04,33.08,391.99,382.53,1.88,-1.16,2.21,17.22,,4.18,0.07,0.09,0.18,2.54,66.18,179.98,491.48
1980,4,29,0.0,42.11,26.71,34.41,388.53,389.95,2.07,-1.08,2.33,21.16,,4.14,0.06,0.11,0.18,2.58,66.17,179.94,491.47
1980,4,30,0.0,42.48,26.79,34.64,385.83,392.35,1.44,-0.69,1.6,14.33,,4.06,0.05,0.01,0.18,2.53,66.15,179.91,491.47
1980,5,1,0.0,42.85,27.57,35.21,388.63,395.93,0.13,-1.81,1.81,19.29,,4.16,0.06,0.05,0.17,2.53,66.14,179.88,491.47
1980,5,2,0.0,43.24,27.42,35.33,399.27,385.53,0.02,1.49,1.49,18.64,,4.09,0.06,0.07,0.18,2.53,66.14,179.85,491.47
1980,5,3,0.0,43.1,28.83,35.97,412.1,379.98,1.03,0.34,1.08,16.25,,4.14,0.07,0.02,0.18,2.52,66.12,179.82,491.47
1980,5,4,0.0,43.26,28.51,35.88,405.96,390.83,2.32,-2.92,3.73,15.92,,4.1,0.05,0.0,0.18,2.52,66.11,179.79,491.47
1980,5,5,0.0,43.67,29.14,36.4,402.66,386.08,3.58,-1.41,3.85,18.04,,4.07,0.05,0.01,0.18,2.52,66.1,179.76,491.47
1980,5,6,0.0,43.43,28.43,35.93,401.73,384.52,4.53,-2.15,5.01,15.61,,4.18,0.05,0.0,0.18,2.52,66.09,179.72,491.46
1980,5,7,0.0,42.57,27.31,34.94,392.95,390.95,3.2,-1.74,3.64,18.7,,4.34,0.05,0.0,0.17,2.52,66.08,179.68,491.46
1980,5,8,0.0,42.3,27.1,34.7,395.49,385.53,3.74,-1.51,4.03,15.62,,4.11,0.04,0.02,0.18,2.53,66.07,179.64,491.46
1980,5,9,0.0,41.56,26.91,34.24,386.72,383.28,3.21,-1.34,3.48,18.07,,4.34,0.08,0.04,0.17,2.53,66.06,179.61,491.45
1980,5,10,0.0,42.09,26.42,34.26,380.15,396.01,4.51,-1.13,4.65,14.12,,4.19,0.05,0.04,0.18,2.54,66.05,179.57,491.45
1980,5,11,0.0,41.45,26.36,33.9,387.82,398.13,4.24,-0.0,4.24,19.09,,4.34,0.05,0.05,0.17,2.54,66.03,179.53,491.45
1980,5,12,0.0,42.08,27.57,34.83,391.4,394.27,3.67,-0.58,3.72,21.91,,4.11,0.04,0.21,0.18,2.63,66.02,179.48,491.45
1980,5,13,0.0,42.62,27.47,35.04,390.98,392.59,3.05,-1.83,3.56,17.91,,4.1,0.06,0.15,0.18,2.56,66.01,179.46,491.45
1980,5,14,0.0,42.71,29.05,35.88,396.75,396.78,1.73,-1.76,2.47,19.06,,4.27,0.1,0.08,0.18,2.56,66.0,179.42,491.45
1980,5,15,0.02,43.08,29.49,36.28,405.25,388.19,2.49,-0.92,2.65,22.35,,4.05,0.18,0.23,0.18,2.61,65.99,179.38,491.44
1980,5,16,0.0,41.84,28.43,35.14,409.0,371.41,2.38,-1.8,2.98,20.38,,4.18,0.11,0.64,0.2,2.74,65.98,179.34,491.44
1980,5,17,0.0,42.55,28.13,35.34,413.61,373.18,4.68,-1.66,4.97,18.16,,4.25,0.07,0.1,0.2,2.65,65.97,179.31,491.44
1980,5,18,0.0,42.25,27.32,34.78,399.02,393.35,5.24,-0.98,5.33,21.42,,3.93,0.05,0.02,0.18,2.59,65.95,179.26,491.44
1980,5,19,0.0,42.29,27.47,34.88,400.4,393.85,4.31,-0.9,4.4,23.12,,4.02,0.09,0.02,0.17,2.55,65.94,179.23,491.44
1980,5,20,0.0,42.13,27.88,35.01,402.02,390.02,3.86,-2.11,4.4,21.15,,3.92,0.06,0.0,0.17,2.53,65.93,179.18,491.44
1980,5,21,0.0,41.43,26.21,33.82,399.29,391.37,3.84,-1.85,4.26,18.66,,4.39,0.05,0.0,0.17,2.52,65.91,179.14,491.44
1980,5,22,0.0,41.6,26.71,34.16,385.7,405.33,4.5,-1.15,4.64,19.1,,4.36,0.05,0.0,0.17,2.52,65.91,179.1,491.44
1980,5,23,0.0,42.05,27.67,34.86,394.48,400.59,3.89,-1.31,4.1,22.59,,4.32,0.04,0.0,0.17,2.52,65.89,179.07,491.43
1980,5,24,0.0,42.21,28.02,35.12,397.66,397.74,3.94,-1.08,4.09,20.42,,4.43,0.04,0.01,0.17,2.52,65.88,179.02,491.43
1980,5,25,0.0,41.71,27.54,34.62,412.4,382.48,3.52,-1.57,3.85,19.92,,4.48,0.63,0.01,0.17,2.52,65.87,178.98,491.43
1980,5,26,0.0,42.01,27.94,34.98,410.71,377.89,3.71,-1.82,4.13,15.35,,3.88,1.06,0.06,0.17,2.53,65.86,178.96,491.43
1980,5,27,0.0,42.76,28.8,35.78,404.78,386.18,4.2,-1.59,4.49,15.77,,4.09,0.71,0.11,0.17,2.53,65.85,178.92,491.43
1980,5,28,0.0,43.17,28.25,35.71,401.28,391.99,4.95,-1.61,5.21,22.86,,4.08,0.45,0.01,0.17,2.53,65.84,178.87,491.43
1980,5,29,0.0,42.34,27.62,34.98,390.74,404.46,4.13,-0.67,4.18,21.89,,4.35,0.3,0.0,0.17,2.53,65.82,178.82,491.43
1980,5,30,0.09,41.28,27.62,34.45,410.39,396.15,4.36,-1.32,4.56,25.06,,4.29,0.2,0.01,0.17,2.53,65.81,178.79,491.42
1980,5,31,0.3,41.71,29.3,35.51,421.73,378.07,3.07,-0.75,3.16,26.79,,4.25,0.25,0.57,0.16,2.57,65.8,178.76,491.42
1980,6,1,0.58,41.99,26.81,34.4,437.81,327.99,2.78,-1.46,3.14,35.29,,4.09,2.53,0.38,0.19,2.98,65.79,178.72,491.42
1980,6,2,8.31,41.59,25.2,33.4,442.63,361.27,1.17,-1.3,1.75,39.82,,4.07,3.45,0.62,0.22,3.55,65.78,178.67,491.42
1980,6,3,6.62,40.13,23.79,31.96,440.62,335.66,2.91,-1.66,3.35,54.43,,3.56,3.0,1.02,0.41,5.53,65.76,178.62,491.42
1980,6,4,2.01,36.21,24.22,30.22,442.36,354.55,1.81,0.44,1.86,42.25,,3.49,2.92,1.54,0.55,6.05,65.75,178.57,491.41
1980,6,5,0.41,37.63,25.14,31.38,444.73,320.78,1.24,1.75,2.14,54.43,,4.22,3.52,1.07,0.69,7.98,65.74,178.52,491.41
1980,6,6,25.52,37.5,23.39,30.44,437.24,245.03,0.18,2.57,2.58,66.58,,3.31,2.77,3.41,0.57,9.8,65.71,178.44,491.4
1980,6,7,13.5,33.35,23.19,28.27,429.19,283.2,3.1,3.03,4.33,86.07,,2.94,2.46,2.37,0.56,12.3,65.7,178.38,491.4
1980,6,8,3.01,30.85,23.56,27.2,428.39,278.98,4.06,-0.59,4.1,71.39,,3.55,2.96,3.55,1.17,18.91,65.68,178.33,491.4
