year,month,day,prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(mm/day),evap_surface(mm/day),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2)
1980,1,1,0.0,27.49,12.57,20.03,333.77,249.97,1.94,1.4,2.39,47.61,,2.29,1.55,0.0,0.33,4.75,71.82,175.93,539.13
1980,1,2,0.09,27.49,13.74,20.62,353.46,232.54,1.16,-0.16,1.17,53.47,,1.98,1.21,0.02,0.31,4.63,71.73,175.82,539.08
1980,1,3,0.0,26.68,12.83,19.76,352.31,199.91,-0.3,-1.89,1.91,52.63,,1.61,0.96,0.32,0.29,4.55,71.63,175.71,539.04
1980,1,4,0.01,25.49,12.61,19.05,359.99,168.98,-1.96,-0.55,2.04,81.7,,1.76,1.39,0.18,0.19,4.67,71.55,175.63,539.02
1980,1,5,3.93,23.72,13.53,18.62,376.98,89.75,-1.17,-1.69,2.06,88.74,,1.0,0.98,0.9,0.07,7.17,71.51,175.58,539.0
1980,1,6,6.08,19.8,12.5,16.15,348.83,162.8,-0.81,-0.91,1.22,73.86,,1.75,1.58,0.69,0.24,8.77,71.45,175.52,538.99
1980,1,7,0.0,22.11,9.87,15.99,310.82,256.73,-0.46,-1.23,1.31,54.81,,2.11,1.76,0.0,0.52,8.42,71.36,175.41,538.94
1980,1,8,0.0,25.03,9.66,17.34,317.06,260.35,0.4,-1.77,1.81,56.61,,2.21,1.66,0.0,0.53,8.06,71.26,175.29,538.9
1980,1,9,0.0,26.21,10.62,18.42,334.49,257.83,0.12,-1.09,1.1,54.54,,2.22,1.5,0.0,0.52,7.71,71.17,175.19,538.85
1980,1,10,0.0,26.71,12.33,19.52,351.83,250.89,0.48,-0.03,0.48,54.63,,2.14,1.38,0.01,0.5,7.39,71.09,175.08,538.82
1980,1,11,0.0,27.21,13.12,20.16,358.54,234.75,0.47,1.85,1.91,56.51,,2.26,1.41,0.01,0.47,7.12,71.0,174.97,538.77
1980,1,12,0.29,28.03,15.02,21.52,365.68,242.65,1.38,1.81,2.28,67.87,,2.26,1.37,0.12,0.42,7.02,70.91,174.86,538.73
1980,1,13,1.04,28.05,14.71,21.38,361.58,235.18,0.46,0.71,0.85,71.23,,2.05,1.21,0.61,0.34,7.22,70.84,174.76,538.68
1980,1,14,0.04,27.66,14.78,21.22,359.0,243.79,0.11,0.35,0.37,61.31,,2.09,1.2,0.03,0.42,7.01,70.77,174.67,538.65
1980,1,15,0.02,28.12,14.77,21.44,356.17,246.89,-0.26,1.93,1.95,63.38,,2.29,1.28,0.04,0.41,6.81,70.68,174.57,538.61
1980,1,16,0.0,28.2,14.33,21.26,351.28,250.11,0.11,2.17,2.17,59.32,,2.36,1.28,0.01,0.41,6.59,70.6,174.46,538.56
1980,1,17,0.0,28.76,14.17,21.46,355.21,259.59,0.21,1.64,1.65,59.86,,2.33,1.23,0.01,0.4,6.36,70.53,174.36,538.53
1980,1,18,0.0,29.31,14.51,21.91,361.84,251.69,-0.45,1.8,1.86,55.21,,2.38,1.22,0.01,0.4,6.14,70.46,174.27,538.49
