year,month,day,prcp(mm/day),tmax(C),tmin(C),tavg(C),srad_lw(w/m2),srad_sw(w/m2),wind_u(m/s),wind_v(m/s),wind(m/s),rel_hum(%),pet(mm/day),pet_gleam(mm/day),aet_gleam(mm/day),evap_canopy(mm/day),evap_surface(mm/day),sm_lvl1(kg/m2),sm_lvl2(kg/m2),sm_lvl3(kg/m2),sm_lvl4(kg/m2)
1980,1,1,0.0,29.71,13.02,21.36,329.1,265.77,3.34,-0.81,3.44,55.39,,2.3,0.83,0.0,0.26,3.69,69.76,133.4,451.37
1980,1,2,0.0,28.75,13.09,20.92,338.58,256.95,2.23,-0.4,2.27,53.53,,2.14,0.73,0.0,0.25,3.63,69.68,133.37,451.36
1980,1,3,0.0,27.92,12.88,20.4,324.01,268.63,0.03,-1.55,1.55,46.73,,2.19,0.7,0.0,0.26,3.51,69.6,133.34,451.35
1980,1,4,0.0,28.16,13.73,20.94,339.32,264.9,-2.57,0.09,2.57,55.77,,2.0,0.62,0.0,0.24,3.41,69.52,133.3,451.33
1980,1,5,0.0,28.31,14.91,21.61,369.85,207.05,-0.94,0.6,1.12,61.08,,1.76,0.51,0.02,0.22,3.4,69.44,133.27,451.32
1980,1,6,0.16,28.38,15.8,22.09,370.96,181.93,-3.49,-0.32,3.5,68.05,,1.51,0.46,0.15,0.17,3.43,69.37,133.23,451.3
1980,1,7,0.07,28.03,14.93,21.48,364.52,161.16,-2.66,1.36,2.99,65.91,,1.8,0.55,0.05,0.17,3.4,69.29,133.2,451.28
1980,1,8,0.0,28.79,15.76,22.28,369.88,247.18,-1.2,0.63,1.36,45.8,,1.8,0.51,0.0,0.23,3.31,69.21,133.16,451.27
1980,1,9,0.0,29.21,15.66,22.44,371.28,227.64,-0.41,1.01,1.09,43.19,,1.77,0.48,0.01,0.23,3.22,69.14,133.13,451.26
1980,1,10,0.0,30.08,15.55,22.82,356.56,262.11,1.02,0.26,1.05,42.7,,2.09,0.53,0.0,0.23,3.13,69.07,133.1,451.24
1980,1,11,0.0,30.27,15.25,22.76,355.42,257.15,1.93,0.62,2.03,42.19,,2.47,0.6,0.0,0.22,3.04,69.0,133.06,451.23
1980,1,12,0.0,30.24,15.18,22.71,349.04,266.09,1.02,-0.22,1.04,38.3,,2.36,0.56,0.0,0.22,2.96,68.94,133.03,451.21
1980,1,13,0.0,29.48,14.13,21.8,342.56,271.35,0.47,1.11,1.21,39.99,,2.47,0.56,0.0,0.23,2.9,68.87,133.0,451.2
1980,1,14,0.0,30.03,14.22,22.12,337.37,275.35,0.38,1.32,1.37,43.38,,2.5,0.68,0.0,0.22,2.83,68.81,132.96,451.18
1980,1,15,0.0,30.36,14.25,22.3,337.69,262.9,0.48,2.18,2.23,40.3,,2.49,0.59,0.0,0.22,2.79,68.74,132.93,451.17
1980,1,16,0.0,30.39,13.67,22.03,337.32,277.21,0.26,1.63,1.65,44.81,,2.48,0.54,0.0,0.21,2.74,68.67,132.9,451.15
1980,1,17,0.0,30.74,13.97,22.36,341.62,278.94,0.59,1.78,1.88,44.75,,2.52,0.51,0.0,0.21,2.71,68.61,132.87,451.14
1980,1,18,0.0,30.49,14.87,22.68,346.94,278.85,0.28,1.64,1.66,44.15,,2.5,0.48,0.0,0.21,2.67,68.54,132.83,451.13
1980,1,19,0.0,30.82,14.53,22.68,351.66,279.9,-0.31,1.01,1.06,38.3,,2.53,0.68,0.0,0.2,2.64,68.49,132.8,451.12
1980,1,20,0.0,31.04,14.64,22.84,349.32,280.28,0.91,0.71,1.15,39.67,,2.57,0.78,0.0,0.2,2.61,68.43,132.78,451.1
1980,1,21,0.0,31.37,15.19,23.28,343.25,282.48,1.34,-0.5,1.43,38.55,,2.52,0.64,0.0,0.19,2.58,68.38,132.75,451.09
1980,1,22,0.0,31.24,14.46,22.85,329.36,286.66,1.68,-1.42,2.2,33.97,,2.49,0.55,0.0,0.2,2.56,68.33,132.71,451.07
1980,1,23,0.0,31.02,12.48,21.75,317.33,291.31,0.17,-1.04,1.05,33.81,,2.47,0.49,0.0,0.2,2.55,68.27,132.69,451.06
1980,1,24,0.0,30.17,12.52,21.34,323.2,291.86,0.18,0.23,0.29,37.18,,2.55,0.5,0.0,0.2,2.55,68.22,132.66,451.04
1980,1,25,0.0,31.01,12.94,21.98,332.44,291.92,0.62,0.78,1.0,36.65,,2.61,0.48,0.0,0.19,2.54,68.16,132.63,451.03
1980,1,26,0.0,31.48,13.76,22.62,332.64,294.18,0.94,0.36,1.01,36.81,,2.61,0.46,0.0,0.19,2.53,68.12,132.6,451.01
1980,1,27,0.0,31.66,14.48,23.07,330.23,295.3,2.63,-0.45,2.67,37.72,,2.57,0.42,0.0,0.2,2.53,68.07,132.57,451.0
1980,1,28,0.0,30.9,14.27,22.58,320.08,297.17,2.38,-1.45,2.79,43.05,,2.52,0.39,0.0,0.19,2.53,68.02,132.54,450.99
1980,1,29,0.0,29.17,11.69,20.43,305.15,303.65,0.38,-1.45,1.5,30.79,,2.47,0.38,0.0,0.2,2.53,67.96,132.51,450.97
1980,1,30,0.0,28.88,11.24,20.06,310.17,304.81,0.38,-0.12,0.4,32.9,,2.55,0.38,0.0,0.2,2.53,67.91,132.48,450.96
1980,1,31,0.0,29.74,12.1,20.92,320.99,303.87,-0.37,1.09,1.15,32.07,,2.69,0.38,0.0,0.2,2.53,67.85,132.45,450.94
1980,2,1,0.0,31.02,14.51,22.76,334.74,300.01,3.18,1.7,3.61,47.78,,2.51,0.34,0.01,0.19,2.53,67.8,132.42,450.92
1980,2,2,0.0,30.5,15.1,22.8,332.16,285.19,3.49,0.6,3.54,50.22,,2.21,0.28,0.0,0.18,2.54,67.74,132.39,450.91
1980,2,3,0.0,28.92,14.0,21.46,325.02,301.14,2.99,0.07,2.99,45.63,,2.43,0.31,0.0,0.2,2.53,67.69,132.35,450.89
1980,2,4,0.0,29.09,13.09,21.09,320.46,305.64,2.03,-0.74,2.16,45.02,,2.61,0.32,0.0,0.19,2.53,67.63,132.32,450.88
1980,2,5,0.0,29.11,12.38,20.74,305.63,314.34,1.21,-1.27,1.75,25.06,,2.63,0.31,0.0,0.2,2.53,67.58,132.29,450.86
1980,2,6,0.0,29.34,11.87,20.6,303.46,317.62,-0.43,-1.49,1.55,20.47,,2.67,0.31,0.0,0.2,2.52,67.54,132.26,450.85
1980,2,7,0.0,30.39,12.6,21.5,314.88,316.06,-2.1,-0.8,2.25,25.77,,2.76,0.31,0.0,0.2,2.53,67.49,132.24,450.83
1980,2,8,0.0,30.69,13.66,22.18,325.19,315.43,0.09,0.23,0.25,28.87,,2.88,0.31,0.0,0.19,2.52,67.45,132.21,450.82
1980,2,9,0.0,32.49,14.79,23.64,324.83,316.87,1.81,-1.21,2.18,24.58,,2.82,0.29,0.0,0.19,2.52,67.41,132.19,450.81
1980,2,10,0.0,33.01,14.19,23.6,316.86,322.33,-0.83,-1.85,2.03,24.23,,2.81,0.29,0.0,0.19,2.52,67.37,132.17,450.8
1980,2,11,0.0,32.48,14.91,23.7,335.03,318.71,-2.0,0.04,2.0,29.05,,2.81,0.35,0.0,0.2,2.52,67.33,132.14,450.78
1980,2,12,0.0,33.26,17.07,25.16,365.36,303.09,-1.64,1.01,1.93,33.24,,2.65,0.3,0.02,0.19,2.52,67.29,132.12,450.77
1980,2,13,0.0,33.65,17.32,25.48,378.6,302.49,0.05,1.01,1.01,36.59,,2.83,0.28,0.02,0.17,2.53,67.25,132.09,450.76
1980,2,14,0.0,34.14,18.33,26.24,375.27,278.89,2.83,0.88,2.96,35.85,,2.51,0.24,0.04,0.18,2.53,67.22,132.07,450.74
1980,2,15,0.0,33.91,17.13,25.52,333.05,325.58,3.06,-0.49,3.1,30.88,,2.8,0.26,0.0,0.19,2.52,67.18,132.04,450.73
