gauge_id,num_dams,res_store_sum,n_dams,first_dam_year,last_dam_year,total_storage,reservoir_index,irrigation_frac,hydroelec_frac,drinking_frac,flood_frac,overflow_frac,navigation_frac,tailing_frac,pop_density_2000,pop_density_2005,pop_density_2010,pop_density_2015,pop_density_2020,urban_frac_1985,urban_frac_1995,urban_frac_2005,crops_frac_1985,crops_frac_1995,crops_frac_2005
4013,15,0,17,1908,2005,2495028616,0.167020724,0.761904762,0.095238095,0,0,0,0,0,249.5260965,257.738111,264.4928749,275.9953539,286.7790513,0.002758592,0.006466063,0.01036182,0.531132194,0.529496545,0.524915373
4014,0,0,0,,,0,,,,,,,,,112.2887615,109.6416238,113.6402663,110.2266295,108.9461908,0.001386197,0.002291469,0.004017144,0.076467177,0.052774517,0.052845241
4015,3,0,3,1965,1994,2309344352,1.226048456,0.4,0.2,0,0,0,0,0,194.1705402,189.4921272,185.8391691,186.9840767,191.785129,0.004667845,0.008018083,0.008727342,0.22553562,0.21638157,0.215147575
4016,7,0,7,1928,2005,2417244116,,0.545454545,0.181818182,0,0,0,0,0,208.4869728,210.1681018,212.1729771,217.0366736,222.3321695,0.004137716,0.008706777,0.012242741,0.315419649,0.299759432,0.298401494
4017,183,0,219,1872,2014,15195833498,1.102741508,0.855932203,0.080508475,0.004237288,0.004237288,0.004237288,0.004237288,0.004237288,305.1345185,323.1638324,341.6025992,360.7729295,381.0723768,0.002880186,0.006745488,0.007946389,0.776739285,0.772485753,0.772938353
4018,1,0,8,1966,1989,75781100,0.403206027,1,0,0,0,0,0,0,172.4354973,206.30535,248.4555345,291.5194234,350.572138,0.004679618,0.004921047,0.006564821,0.797646322,0.789494231,0.788122708
4019,455,1516,611,1871,2014,30653582241,1.241956153,0.899529042,0.054945055,0.001569859,0.003139717,0.001569859,0.001569859,0.001569859,278.0948582,300.1613428,324.11937,350.7075464,379.8929532,0.003485998,0.008037444,0.009181506,0.787641269,0.795497911,0.795315883
4020,0,0,0,,,0,,,,,,,,,73.95809118,78.14801574,91.24401656,86.42889935,78.08204434,0,0.004105002,0.003960966,0.206222318,0.187065644,0.188650031
4021,22,0,27,1964,2011,4421214242,1.033288282,0.709677419,0.258064516,0,0,0,0,0,293.9143203,305.064271,313.5753692,321.7139589,331.1347922,0.002353087,0.007142844,0.007393598,0.528930245,0.575365092,0.574205811
4022,1,1.67,8,1902,1968,206477200,0.118166201,1,0,0,0,0,0,0,271.6094706,282.8650805,293.2218621,306.2394324,318.5554297,0.004062229,0.007828401,0.00871562,0.741106699,0.743206608,0.737183009
4023,4,0,4,1940,1940,54201000,0.531662127,1,0,0,0,0,0,0,208.3540714,213.1708224,218.0346893,216.6597389,216.58728,0.001075615,0.001367071,0.003296238,0.45838297,0.453879267,0.493431812
4024,8,0,9,1952,2010,39112000,0.74511178,1,0,0,0,0,0,0,129.2338149,136.2949186,148.2929523,154.6345725,156.0301427,0,0,0,0.913685915,0.903360079,0.904450884
4025,3,0,5,1908,1984,65375000,0.158545872,1,0,0,0,0,0,0,192.6286175,201.063821,214.9734755,219.388076,228.0227942,0.000447287,0.001774721,0.004535398,0.620050981,0.627284533,0.630963832
4026,86,0,108,1872,2014,6256720125,0.573529483,0.867256637,0.10619469,0,0,0,0,0,410.2878181,426.7490616,445.7304649,463.7856114,484.7883542,0.005677921,0.012805413,0.012955547,0.650545143,0.659837933,0.65878311
